symbol,atomic_number,element,group,period,mass,density (g/cm^3)
H,1,Hydrogen,1,1,1.008,0.00008988
He,2,Helium,18,1,4.002602,0.0001785
Li,3,Lithium,1,2,6.94,0.534
Be,4,Beryllium,2,2,9.0121831,1.85
B,5,Boron,13,2,10.81,2.34
C,6,Carbon,14,2,12.011,2.267
N,7,Nitrogen,15,2,14.007,0.0012506
O,8,Oxygen,16,2,15.999,0.001429
F,9,Fluorine,17,2,18.99840316,0.001696
Ne,10,Neon,18,2,20.1797,0.0008999
Na,11,Sodium,1,3,22.98976928,0.971
Mg,12,Magnesium,2,3,24.305,1.738
Al,13,Aluminium,13,3,26.9815384,2.698
Si,14,Silicon,14,3,28.085,2.3296
P,15,Phosphorus,15,3,30.973762,1.82
S,16,Sulfur,16,3,32.06,2.067
Cl,17,Chlorine,17,3,35.45,0.003214
Ar,18,Argon,18,3,39.948,0.0017837
K,19,Potassium,1,4,39.0983,0.862
Ca,20,Calcium,2,4,40.078,1.54
Sc,21,Scandium,3,4,44.955908,2.989
Ti,22,Titanium,4,4,47.867,4.54
V,23,Vanadium,5,4,50.9415,6.11
Cr,24,Chromium,6,4,51.9961,7.15
Mn,25,Manganese,7,4,54.938043,7.44
Fe,26,Iron,8,4,55.845,7.874
Co,27,Cobalt,9,4,58.933194,8.86
Ni,28,Nickel,10,4,58.6934,8.912
Cu,29,Copper,11,4,63.546,8.96
Zn,30,Zinc,12,4,65.38,7.134
Ga,31,Gallium,13,4,69.723,5.907
Ge,32,Germanium,14,4,72.63,5.323
As,33,Arsenic,15,4,74.921595,5.776
Se,34,Selenium,16,4,78.971,4.809
Br,35,Bromine,17,4,79.904,3.122
Kr,36,Krypton,18,4,83.798,0.003733
Rb,37,Rubidium,1,5,85.4678,1.532
Sr,38,Strontium,2,5,87.62,2.64
Y,39,Yttrium,3,5,88.90584,4.469
Zr,40,Zirconium,4,5,91.224,6.506
Nb,41,Niobium,5,5,92.90637,8.57
Mo,42,Molybdenum,6,5,95.95,10.22
Tc,43,Technetium,7,5,97,11.5
Ru,44,Ruthenium,8,5,101.07,12.37
Rh,45,Rhodium,9,5,102.90549,12.41
Pd,46,Palladium,10,5,106.42,12.02
Ag,47,Silver,11,5,107.8682,10.501
Cd,48,Cadmium,12,5,112.414,8.69
In,49,Indium,13,5,114.818,7.31
Sn,50,Tin,14,5,118.71,7.287
Sb,51,Antimony,15,5,121.76,6.685
Te,52,Tellurium,16,5,127.6,6.232
I,53,Iodine,17,5,126.90447,4.93
Xe,54,Xenon,18,5,131.293,0.005887
Cs,55,Caesium,1,6,132.905452,1.873
Ba,56,Barium,2,6,137.327,3.594
La,57,Lanthanum,,6,138.90547,6.145
Ce,58,Cerium,,6,140.116,6.77
Pr,59,Praseodymium,,6,140.90766,6.773
Nd,60,Neodymium,,6,144.242,7.007
Pm,61,Promethium,,6,145,7.26
Sm,62,Samarium,,6,150.36,7.52
Eu,63,Europium,,6,151.964,5.243
Gd,64,Gadolinium,,6,157.25,7.895
Tb,65,Terbium,,6,158.925354,8.229
Dy,66,Dysprosium,,6,162.5,8.55
Ho,67,Holmium,,6,164.930328,8.795
Er,68,Erbium,,6,167.259,9.066
Tm,69,Thulium,,6,168.934218,9.321
Yb,70,Ytterbium,,6,173.045,6.965
Lu,71,Lutetium,3,6,174.9668,9.84
Hf,72,Hafnium,4,6,178.49,13.31
Ta,73,Tantalum,5,6,180.94788,16.654
W,74,Tungsten,6,6,183.84,19.25
Re,75,Rhenium,7,6,186.207,21.02
Os,76,Osmium,8,6,190.23,22.61
Ir,77,Iridium,9,6,192.217,22.56
Pt,78,Platinum,10,6,195.084,21.46
Au,79,Gold,11,6,196.96657,19.282
Hg,80,Mercury,12,6,200.592,13.5336
Tl,81,Thallium,13,6,204.38,11.85
Pb,82,Lead,14,6,207.2,11.342
Bi,83,Bismuth,15,6,208.9804,9.807
Po,84,Polonium,16,6,209,9.32
At,85,Astatine,17,6,210,7
Rn,86,Radon,18,6,222,0.00973
Fr,87,Francium,1,7,223,1.87
Ra,88,Radium,2,7,226,5.5
Ac,89,Actinium,,7,227,10.07
Th,90,Thorium,,7,232.0377,11.72
Pa,91,Protactinium,,7,231.03588,15.37
U,92,Uranium,,7,238.02891,18.95
Np,93,Neptunium,,7,237,20.45
Pu,94,Plutonium,,7,244,19.84
Am,95,Americium,,7,243,13.69
Cm,96,Curium,,7,247,13.51
Bk,97,Berkelium,,7,247,14.79
Cf,98,Californium,,7,251,15.1
Es,99,Einsteinium,,7,252,8.84
Fm,100,Fermium,,7,257,9.7
Md,101,Mendelevium,,7,258,10.3
No,102,Nobelium,,7,259,9.9
Lr,103,Lawrencium,3,7,266,15.6
Rf,104,Rutherfordium,4,7,267,23.2
Db,105,Dubnium,5,7,268,29.3
Sg,106,Seaborgium,6,7,269,35
Bh,107,Bohrium,7,7,270,37.1
Hs,108,Hassium,8,7,270,40.7
Mt,109,Meitnerium,9,7,278,37.4
Ds,110,Darmstadtium,10,7,281,34.8
Rg,111,Roentgenium,11,7,282,28.7
Cn,112,Copernicium,12,7,285,23.7
Nh,113,Nihonium,13,7,286,16
Fl,114,Flerovium,14,7,289,14
Mc,115,Moscovium,15,7,290,13.5
Lv,116,Livermorium,16,7,293,12.9
Ts,117,Tennessine,17,7,294,7.2
Og,118,Oganesson,18,7,294,5
